"","Pathway_ID","Pathway_Name","Compound_ID","Metabolism_Name"
"hsa00910","hsa00910","Nitrogen metabolism - Homo sapiens (human)","C00011;C00014;C00025;C00058;C00064;C00088;C00169;C00192;C00244;C00288;C00488;C00533;C00697;C00726;C00887;C01417;C01563;C05361;C06058","CO2;Ammonia;L-Glutamate;Formate;L-Glutamine;Nitrite;Carbamoyl phosphate;Hydroxylamine;Nitrate;HCO3-;Formamide;Nitric oxide;Nitrogen;Nitrile;Nitrous oxide;Cyanate;Carbamate;Hydrazine;Nitroalkane"
"hsa00920","hsa00920","Sulfur metabolism - Homo sapiens (human)","C00033;C00042;C00053;C00054;C00059;C00065;C00084;C00087;C00094;C00097;C00155;C00224;C00245;C00263;C00283;C00320;C00409;C00580;C00979;C01118;C01861;C02084;C03920;C04022;C08276;C11142;C11143;C11145;C15521;C17267;C19692;C20870;C20955","Acetate;Succinate;3'-Phosphoadenylyl sulfate;Adenosine 3',5'-bisphosphate;Sulfate;L-Serine;Acetaldehyde;Sulfur;Sulfite;L-Cysteine;L-Homocysteine;Adenylyl sulfate;Taurine;L-Homoserine;Hydrogen sulfide;Thiosulfate;Methanethiol;Dimethyl sulfide;O-Acetyl-L-serine;O-Succinyl-L-homoserine;Trithionate;Tetrathionate;2-(Methylthio)ethanesulfonate;S,S-Dimethyl-beta-propiothetin;3-(Methylthio)propanoate;Dimethyl sulfone;Dimethyl sulfoxide;Methanesulfonic acid;Alkanesulfonate;S-Sulfanylglutathione;Polysulfide;3-(Methylthio)propanoyl-CoA;3-(Methylthio)acryloyl-CoA"
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis - Homo sapiens (human)","C00025;C00037;C00041;C00047;C00049;C00062;C00064;C00065;C00073;C00078;C00079;C00082;C00097;C00101;C00123;C00135;C00148;C00152;C00183;C00188;C00234;C00407;C00886;C01005;C01931;C02047;C02163;C02282;C02412;C02430;C02553;C02554;C02702;C02839;C02984;C02987;C02988;C02992;C03125;C03127;C03294;C03402;C03511;C03512;C06112;C06113;C06481;C06482;C16138;C16638;C17022;C17027","L-Glutamate;Glycine;L-Alanine;L-Lysine;L-Aspartate;L-Arginine;L-Glutamine;L-Serine;L-Methionine;L-Tryptophan;L-Phenylalanine;L-Tyrosine;L-Cysteine;Tetrahydrofolate;L-Leucine;L-Histidine;L-Proline;L-Asparagine;L-Valine;L-Threonine;10-Formyltetrahydrofolate;L-Isoleucine;L-Alanyl-tRNA;O-Phospho-L-serine;L-Lysyl-tRNA;L-Leucyl-tRNA;L-Arginyl-tRNA(Arg);Glutaminyl-tRNA;Glycyl-tRNA(Gly);L-Methionyl-tRNA;L-Seryl-tRNA(Ser);L-Valyl-tRNA(Val);L-Prolyl-tRNA(Pro);L-Tyrosyl-tRNA(Tyr);L-Aspartyl-tRNA(Asp);L-Glutamyl-tRNA(Glu);L-Histidyl-tRNA(His);L-Threonyl-tRNA(Thr);L-Cysteinyl-tRNA(Cys);L-Isoleucyl-tRNA(Ile);N-Formylmethionyl-tRNA;L-Asparaginyl-tRNA(Asn);L-Phenylalanyl-tRNA(Phe);L-Tryptophanyl-tRNA(Trp);L-Glutamyl-tRNA(Gln);L-Aspartyl-tRNA(Asn);L-Seryl-tRNA(Sec);L-Selenocysteinyl-tRNA(Sec);L-Pyrrolysine;O-Phosphoseryl-tRNA(Sec);O-Phosphoseryl-tRNA(Cys);L-Pyrrolysyl-tRNA(Pyl)"
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)","C00745;C00829;C02617;C03012;C06205;C06755;C06790;C06800;C06899;C07490;C07535;C11036;C11088;C11148;C11149;C11150;C11278;C11713;C11714;C14039;C14040;C14453;C14556;C14783;C14784;C14785;C14786;C14787;C14788;C14789;C14790;C14791;C14792;C14793;C14796;C14797;C14798;C14799;C14800;C14801;C14802;C14803;C14804;C14805;C14806;C14839;C14840;C14841;C14842;C14843;C14844;C14845;C14846;C14847;C14848;C14849;C14850;C14851;C14852;C14853;C14854;C14855;C14856;C14857;C14858;C14859;C14860;C14861;C14862;C14863;C14864;C14865;C14866;C14867;C14868;C14869;C14870;C14871;C14872;C14873;C14874;C14875;C14876;C14877;C16453;C16756;C19488;C19489;C19490;C19559;C19561;C19562;C19563;C19564;C19565;C19566;C19567;C19568;C19569;C19574;C19577;C19578;C19579;C19580;C19581;C19582;C19585;C19586;C19588;C19589;C19590;C19591;C19592;C19594;C19595;C19602;C19603;C19604;C19605;C19606;C19607","Nicotine;Naphthalene;1,4-Naphthoquinone;Naphthalene-1,2-diol;1,2-Dihydronaphthalene-1,2-diol;Chloroacetic acid;Trichloroethene;Aflatoxin B1;Chloral hydrate;Trichloroethanol;Benzo[a]pyrene;Bromobenzene;1,2-Dibromoethane;TCE epoxide;Dichloroacetate;Trichloroacetate;Aflatoxin B1exo-8,9-epoxide-GSH;2-Naphthol;1-Naphthol;1,1-Dichloroethylene;1-Nitronaphthalene;4-Bromophenol;9-Hydroxybenzo[a]pyrene;1,2-Naphthoquinone;1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene;1,4-Dihydroxynaphthalene;(1R,2S)-Naphthalene 1,2-oxide;(1S,2R)-Naphthalene 1,2-oxide;1-Nitrosonaphthalene;N-Hydroxy-1-aminonaphthalene;1-Naphthylamine;(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene;(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene;(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene;(1R)-Hydroxy-(2R)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene;(1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene;(1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene;(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid;1-Nitronaphthalene-5,6-oxide;1-Nitro-5,6-dihydroxy-dihydronaphthalene;1-Nitronaphthalene-7,8-oxide;1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene;1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene;1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene;1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene;Bromobenzene-3,4-oxide;Bromobenzene-2,3-oxide;2-Bromophenol;Bromobenzene-2,3-dihydrodiol;4-Bromocatechol;Bromobenzene-3,4-dihydrodiol;4-Bromophenol-2,3-epoxide;4-Bromo-3,5-cyclohexadiene-1,2-dione;3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene;2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene;Benzo[a]pyrene-9,10-oxide;Benzo[a]pyrene-7,8-oxide;Benzo[a]pyrene-4,5-oxide;Benzo[a]pyrene-7,8-dihydrodiol;Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide;9-Hydroxybenzo[a]pyrene-4,5-oxide;4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene;7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene;1,1-Dichloroethylene epoxide;2,2-Dichloroacetaldehyde;Chloroacetyl chloride;2,2-Dichloro-1,1-ethanediol;S-(2,2-Dichloro-1-hydroxy)ethyl glutathione;2-S-Glutathionyl acetate;2-(S-Glutathionyl)acetyl glutathione;S-(2-Chloroacetyl)glutathione;2-(S-Glutathionyl)acetyl chloride;Chloral;Dichloroacetyl chloride;S-(1,2-Dichlorovinyl)glutathione;Trichloroethanol glucuronide;2-Bromoacetaldehyde;S-(Formylmethyl)glutathione;Thiodiacetic acid;Thiodiacetic acid sulfoxide;Glutathione episulfonium ion;S-(2-Hydroxyethyl)glutathione;S-(2-Hydroxyethyl)-N-acetyl-L-cysteine;S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;Aflatoxin M1;7,12-Dimethylbenz[a]anthracene;1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene;trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene;(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol;7-Hydroxymethyl-12-methylbenz[a]anthracene;7-Hydroxymethyl-12-methylbenz[a]anthracene sulfate;4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone;4-(Nitrosoamino)-1-(3-pyridinyl)-1-butanone;4-Hydroxy-1-(3-pyridinyl)-1-butanone;4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone;4-Oxo-1-(3-pyridyl)-1-butanone;N-Nitrosomethanamine;3-Succinoylpyridine;4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol;1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol;5-(3-Pyridyl)-2-hydroxytetrahydrofuran;gamma-Hydroxy-3-pyridinebutanoate;alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol;alpha-[3-(Nitrosoamino)propyl]-3-pyridinemethanol;1-(3-Pyridinyl)-1,4-butanediol;Aflatoxin Q1;Aflatoxin B1-exo-8,9-epoxide;Aflatoxin B1 diol;Aflatoxin B1 dialdehyde;6-[2,3-Dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione;1,2,3,4-Tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal;alpha-(1,2-Dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde;Aflatoxin-M1-8,9-epoxide;Aflatoxin B1-endo-8,9-epoxide;4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone;4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol;7,12-Dimethylbenz[a]anthracene 5,6-oxide;4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide;NNAL-N-glucuronide;trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene"
"hsa00982","hsa00982","Drug metabolism - cytochrome P450 - Homo sapiens (human)","C01471;C01516;C05011;C06174;C06754;C06868;C07047;C07073;C07108;C07163;C07185;C07492;C07493;C07495;C07496;C07501;C07572;C07643;C07644;C07645;C07646;C07647;C07888;C08012;C11004;C11583;C11785;C16544;C16545;C16546;C16547;C16548;C16549;C16550;C16551;C16552;C16553;C16554;C16555;C16556;C16557;C16558;C16559;C16560;C16561;C16569;C16570;C16571;C16572;C16576;C16577;C16578;C16582;C16584;C16586;C16587;C16591;C16592;C16595;C16596;C16601;C16602;C16603;C16604;C16605;C16606;C16607;C16608;C16609;C16610;C16612;C16643;C16648;C16649;C16650;C16651;C16652;C16653;C16654;C16655;C16656;C16657;C16658;C16659;C16660;C16661;C16662;D00195;D00252;D00343;D00358;D00399;D00533;D00536;D04716;D07704;D07760;D08195;D08233;D08559","Acrolein;Morphine;Hydroxytamoxifen;Codeine;Chloroacetaldehyde;Carbamazepine;Ifosfamide;Lidocaine;Tamoxifen;Methadone;Valproic acid;Oxcarbazepine;10-Hydroxycarbazepine;Dihydroxycarbazepine;Carbamazepine-10,11-epoxide;Felbamate;Citalopram;4-Hydroxycyclophosphamide;4-Ketocyclophosphamide;Aldophosphamide;Carboxyphosphamide;Phosphoramide mustard;Cyclophosphamide;Levomethadyl acetate;2,6-Dimethylaniline;4-Glutathionyl cyclophosphamide;Normorphine;alpha-Hydroxytamoxifen;Tamoxifen N-oxide;N-Desmethyltamoxifen;Endoxifen;N,N-Didesmethyltamoxifen;alpha-Hydroxy-N-desmethyltamoxifen;Dechloroethylcyclophosphamide;Alcophosphamide;Nornitrogen mustard;4-Hydroxyifosfamide;4-Ketoifosfamide;2-Dechloroethylifosfamide;Aldoifosfamide;Carboxyifosfamide;Alcoifosfamide;Isophosphoramide mustard;3-Hydroxylidocaine;Monoethylglycinexylidide;Glycinexylidide;4-Hydroxy-2,6-dimethylaniline;2-Amino-3-methylbenzoate;3-Hydroxymonoethylglycinexylidide;Norcodeine;Codeine-6-glucuronide;Morphine-6-glucuronide;2-Hydroxyfelbamate;p-Hydroxyfelbamate;2-Phenyl-1,3-propanediol monocarbamate;3-Carbamoyl-2-phenylpropionaldehyde;3-Carbamoyl-2-phenylpropionic acid;Atropaldehyde;4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one;5-Phenyl-1,3-oxazinane-2,4-dione;2-Hydroxycarbamazepine;3-Hydroxycarbamazepine;2,3-Dihydroxycarbamazepine;2-Hydroxyiminostilbene;2H-Dibenz[b,f]azepin-2-one;Carbamazepine-o-quinone;Citalopram N-oxide;Demethylcitalopram;Didemethylcitalopram;Citalopram propionic acid;Citalopram aldehyde;Morphine-3-glucuronide;2-n-Propyl-4-pentenoic acid;4-Hydroxyvalproic acid;5-Hydroxyvalproic acid;3-Hydroxyvalproic acid;3-Oxovalproic acid;2-n-Propyl-2-pentenoic acid;2-n-Propyl-3-pentenoic acid;2-n-Propyl-4-oxopentanoic acid;2-Propyl-2,4-pentadienoic acid;2-Propylsuccinic acid;2-Propylglutaric acid;2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine;2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline;L-alpha-Acetyl-N-normethadol;L-alpha-Acetyl-N,N-dinormethadol;Codeine (USP);Carbamazepine (JP18/USP/INN);Ifosfamide (JAN/USP/INN);Lidocaine (JP18/USP/INN);Valproic acid (USP);Oxcarbazepine (JAN/USP/INN);Felbamate (USPINN);Levomethadyl acetate (USAN);Citalopram (USP/INN);Cyclophosphamide (INN);Methadone (BAN);Morphine (BAN);Tamoxifen (INN)"
"hsa00983","hsa00983","Drug metabolism - other enzymes - Homo sapiens (human)","C00003;C00006;C02320;C02380;C04242;C04646;C05361;C06108;C06837;C07054;C07446;C07447;C07585;C07648;C07649;C11173;C11376;C11736;C12650;C12673;C12739;C13252;C16542;C16543;C16613;C16614;C16615;C16616;C16617;C16618;C16619;C16620;C16621;C16622;C16623;C16624;C16625;C16630;C16631;C16632;C16633;C16634;C16635;C16641;C21748;C21749;C21750;C21751;C21754;C21758;C21759;C21760;D00238;D00346;D00584;D01223;D01244;D01309;D01784;D04197;D04931;D08086;D08603","NAD+;NADP+;R-S-Glutathione;6-Mercaptopurine;5-Fluorodeoxyuridine monophosphate;6-Thioinosine-5'-monophosphate;Hydrazine;Fluoroacetate;Azathioprine;Isoniazid;Isonicotinic acid;Acetylhydrazine;N-Acetylisoniazid;Thioguanine;5-FU;SN-38;SN38 glucuronide;5-Fluorodeoxyuridine;Capecitabine;Tegafur;5'-Deoxy-5-fluorouridine;Carmofur;APC;NPC;6-Thiourate;6-Methylmercaptopurine;6-Methylthiopurine 5'-monophosphate ribonucleotide;6-Mercaptopurine ribonucleoside 5'-diphosphate;6-Mercaptopurine ribonucleoside triphosphate;6-Thioxanthine 5'-monophosphate;6-Thioguanosine monophosphate;6-Methylthioguanosine monophosphate;1-Methyl-4-nitroimidazole;N,N'-Diacetylhydrazine;Isonicotinylglycine;Isoniazid pyruvate;Isoniazid alpha-ketoglutaric acid;5,6-Dihydro-5-fluorouracil;alpha-Fluoro-beta-ureidopropionic acid;alpha-Fluoro-beta-alanine;5-Fluorouridine;5-Fluorouridine monophosphate;5'-Deoxy-5-fluorocytidine;Irinotecan;5-Fluorouridine diphosphate;5-Fluorouridine triphosphate;5-Fluorodeoxyuridine diphosphate;5-Fluorodeoxyuridine triphosphate;Isonicotinoyl radical;Hepatotoxins;Isonicotinoyl-NAD adduct;Isonicotinoyl-NADP adduct;Azathioprine (JP18/USP/INN);Isoniazid (JP18/USP/INN);Fluorouracil (JP18/USP/INN);Capecitabine (JAN/USP/INN);Tegafur (JP18/USAN/INN);Doxifluridine (JP18/INN);Carmofur (JP18/INN);Floxuridine (USP/INN);Mercaptopurine (INN);Irinotecan (INN);Tioguanine (INN)"
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","C00154;C00219;C00249;C00412;C00510;C00712;C01203;C01530;C01595;C02041;C02050;C02249;C03035;C03242;C03595;C04088;C05764;C06425;C06426;C06427;C06428;C06429;C08281;C08316;C08320;C08323;C16160;C16161;C16162;C16163;C16164;C16165;C16166;C16167;C16168;C16169;C16170;C16171;C16172;C16173;C16179;C16180;C16513;C16522;C16525;C16526;C16527;C16528;C16529;C16530;C16531;C16532;C16533;C16645;C17279;C21072;C21932;C21934;C21935;C21937;C21939;C21941;C21943;C21945;C21947;C21949;C21951;C21953;C21959;C21961;C21963;C21965;C21967;C21981","Palmitoyl-CoA;Arachidonate;Hexadecanoic acid;Stearoyl-CoA;Oleoyl-CoA;(9Z)-Octadecenoic acid;Oleoyl-[acyl-carrier protein];Octadecanoic acid;Linoleate;Eicosanoyl-CoA;Linoleoyl-CoA;Arachidonyl-CoA;gamma-Linolenoyl-CoA;Dihomo-gamma-linolenate;8,11,14-Eicosatrienoyl-CoA;Octadecanoyl-[acyl-carrier protein];Hexadecanoyl-[acp];Icosanoic acid;(6Z,9Z,12Z)-Octadecatrienoic acid;(9Z,12Z,15Z)-Octadecatrienoic acid;(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid;(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid;Docosanoic acid;Erucic acid;Tetracosanoic acid;(15Z)-Tetracosenoic acid;Linoleoyl-[acyl-carrier protein];alpha-Linolenoyl-ACP;(9Z,12Z,15Z)-Octadecatrienoyl-CoA;(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA;(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA;(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA;(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA;(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA;(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA;(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA;(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA;(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA;(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA;(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA;(11Z,14Z,17Z)-Icosatrienoyl-CoA;(11Z,14Z)-Icosadienoyl-CoA;(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid;Icosatrienoic acid;Icosadienoic acid;Icosenoic acid;Adrenic acid;Docosanoyl-CoA;Tetracosanoyl-CoA;Icosenoyl-CoA;Docosenoyl-CoA;Tetracosenoyl-CoA;(13Z,16Z)-Docosadienoic acid;(13Z,16Z)-Docosadienoyl-CoA;Ximenoyl-CoA;Palmitoleoyl-CoA;Cerotoyl-CoA;Montanoyl-CoA;(6Z,9Z)-Octadecadienoyl-CoA;(8Z,11Z)-Icosadienoyl-CoA;(5Z,8Z,11Z)-Icosatrienoyl-CoA;(7Z,10Z,13Z)-Docosatrienoyl-CoA;Sapienoyl-CoA;cis-Vaccenoyl-CoA;Paullinoyl-CoA;(11Z,14Z,17Z,20Z,23Z)-Hexacosapentaenoyl-CoA;(13Z,16Z,19Z,22Z,25Z)-Octacosapentaenoyl-CoA;(8Z,11Z,14Z,17Z,20Z,23Z)-Hexacosahexaenoyl-CoA;(10Z,13Z,16Z,19Z,22Z,25Z)-Octacosahexaenoyl-CoA;(11Z,14Z,17Z,20Z)-Hexacosatetraenoyl-CoA;(13Z,16Z,19Z,22Z)-Octacosatetraenoyl-CoA;(8Z,11Z,14Z,17Z,20Z)-Hexacosapentaenoyl-CoA;(10Z,13Z,16Z,19Z,22Z)-Octacosapentaenoyl-CoA;(6Z,9Z)-Hexadecadienoyl-CoA"
"hsa01100","hsa01100","Metabolic pathways - Homo sapiens (human)","",""
"hsa01200","hsa01200","Carbon metabolism - Homo sapiens (human)","",""
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism - Homo sapiens (human)","",""
"hsa01212","hsa01212","Fatty acid metabolism - Homo sapiens (human)","",""
"hsa01230","hsa01230","Biosynthesis of amino acids - Homo sapiens (human)","",""
"hsa01232","hsa01232","Nucleotide metabolism - Homo sapiens (human)","",""
"hsa01240","hsa01240","Biosynthesis of cofactors - Homo sapiens (human)","",""
"hsa01250","hsa01250","Biosynthesis of nucleotide sugars - Homo sapiens (human)","",""
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)","",""
"hsa01522","hsa01522","Endocrine resistance - Homo sapiens (human)","",""
"hsa01523","hsa01523","Antifolate resistance - Homo sapiens (human)","",""
"hsa01524","hsa01524","Platinum drug resistance - Homo sapiens (human)","",""
"hsa02010","hsa02010","ABC transporters - Homo sapiens (human)","C00009;C00025;C00031;C00032;C00034;C00037;C00038;C00041;C00047;C00049;C00051;C00059;C00062;C00064;C00065;C00070;C00077;C00079;C00086;C00088;C00089;C00093;C00095;C00098;C00107;C00114;C00116;C00120;C00121;C00123;C00134;C00135;C00137;C00140;C00148;C00151;C00159;C00175;C00181;C00183;C00185;C00188;C00208;C00212;C00243;C00244;C00245;C00255;C00259;C00288;C00291;C00294;C00299;C00315;C00320;C00330;C00333;C00338;C00378;C00379;C00387;C00392;C00407;C00430;C00470;C00475;C00487;C00491;C00492;C00503;C00526;C00559;C00719;C00794;C00855;C00865;C00881;C00919;C00973;C01083;C01153;C01157;C01177;C01181;C01279;C01330;C01417;C01487;C01606;C01630;C01667;C01674;C01682;C01684;C01762;C01834;C01835;C01935;C01946;C02160;C02273;C03557;C03611;C03619;C04114;C04137;C05349;C05402;C05512;C05776;C06227;C06229;C06230;C06232;C06687;C06705;C06706;C06707;C06767;C07662;C07663;C11612;C13768;C14818;C14819;C15521;C15719;C16421;C16692;C19609;C19872;C20570;C20571;C20572;C20573;C20679;C21066;C22040;G00457","Orthophosphate;L-Glutamate;D-Glucose;Heme;Manganese;Glycine;Zinc cation;L-Alanine;L-Lysine;L-Aspartate;Glutathione;Sulfate;L-Arginine;L-Glutamine;L-Serine;Copper;L-Ornithine;L-Phenylalanine;Urea;Nitrite;Sucrose;sn-Glycerol 3-phosphate;D-Fructose;Oligopeptide;Dipeptide;Choline;Glycerol;Biotin;D-Ribose;L-Leucine;Putrescine;L-Histidine;myo-Inositol;N-Acetyl-D-glucosamine;L-Proline;L-Amino acid;D-Mannose;Cobalt ion;D-Xylose;L-Valine;Cellobiose;L-Threonine;Maltose;Adenosine;Lactose;Nitrate;Taurine;Riboflavin;L-Arabinose;HCO3-;Nickel;Inosine;Uridine;Spermidine;Thiosulfate;Deoxyguanosine;D-Galacturonate;Lipopolysaccharide;Thiamine;Xylitol;Guanosine;Mannitol;L-Isoleucine;5-Aminolevulinate;Pectate;Cytidine;Carnitine;L-Cystine;Raffinose;Erythritol;Deoxyuridine;Deoxyadenosine;Betaine;D-Sorbitol;D-Methionine;Phospholipid;Deoxycytidine;Choline sulfate;Cyclomaltodextrin;alpha,alpha-Trehalose;Orthophosphoric monoester;Hydroxyproline;Inositol 1-phosphate;4-Trimethylammoniobutanoate;4-Amino-5-hydroxymethyl-2-methylpyrimidine;Sodium cation;Cyanate;D-Allose;Phthalate;Xylobiose;Bacitracin;Chitobiose;Nopaline;D-Rhamnose;Xanthosine;Lipoprotein;Maltotriose;Maltodextrin;Oleandomycin;Isomaltotriose;Digalacturonate;2-Aminoethylphosphonate;Galactose oligosaccharide;Methyl beta-D-galactoside;(E)-4-(Trimethylammonio)but-2-enoate;Octopine;Ciprofloxacin;Melibiose;Deoxyinosine;Vitamin B12;Fe(III)hydroxamate;Fe(III)dicitrate;Fe-enterobactin;Molybdate;Norfloxacin;Capsular polysaccharide;Lipo-oligosaccharide;Teichoic acid;Hemine;Sparfloxacin;Moxifloxacin;Polymyxin B;Colistin sulfate;Fe2+;Fe3+;Alkanesulfonate;Coelichelin;AI-2;Mannopine;Nickel(2+);N-Formyl-4-amino-5-aminomethyl-2-methylpyrimidine;alpha-1,5-L-Arabinobiose;alpha-1,5-L-Arabinotriose;alpha-1,5-L-Arabinotetraose;Aldotetraouronic acid;Tungstate;D-Galactofuranose;S-Methyl-L-cysteine;Maltotetraose"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes - Homo sapiens (human)","",""
"hsa03010","hsa03010","Ribosome - Homo sapiens (human)","",""
"hsa03013","hsa03013","Nucleocytoplasmic transport - Homo sapiens (human)","",""
"hsa03015","hsa03015","mRNA surveillance pathway - Homo sapiens (human)","",""
"hsa03018","hsa03018","RNA degradation - Homo sapiens (human)","",""
"hsa03020","hsa03020","RNA polymerase - Homo sapiens (human)","",""
"hsa03022","hsa03022","Basal transcription factors - Homo sapiens (human)","",""
"hsa03030","hsa03030","DNA replication - Homo sapiens (human)","",""
"hsa03040","hsa03040","Spliceosome - Homo sapiens (human)","",""
"hsa03050","hsa03050","Proteasome - Homo sapiens (human)","",""
"hsa03060","hsa03060","Protein export - Homo sapiens (human)","",""
"hsa03250","hsa03250","Viral life cycle - HIV-1 - Homo sapiens (human)","",""
"hsa03260","hsa03260","Virion - Human immunodeficiency virus - Homo sapiens (human)","C00925;NA;C00925","Heparan sulfate;NA;Heparan sulfate"
"hsa03264","hsa03264","Virion - Flavivirus - Homo sapiens (human)","C00607;C00925","Chondroitin sulfate;Heparan sulfate"
"hsa03265","hsa03265","Virion - Lyssavirus - Homo sapiens (human)","",""
"hsa03266","hsa03266","Virion - Herpesvirus - Homo sapiens (human)","",""
"hsa03267","hsa03267","Virion - Adenovirus - Homo sapiens (human)","",""
"hsa03320","hsa03320","PPAR signaling pathway - Homo sapiens (human)","C02165;C14762;C14767;C14776;C15493","Leukotriene B4;13(S)-HODE;9(S)-HODE;8(S)-HETE;9-cis-Retinoic acid"
"hsa03410","hsa03410","Base excision repair - Homo sapiens (human)","",""
"hsa03420","hsa03420","Nucleotide excision repair - Homo sapiens (human)","",""
"hsa03430","hsa03430","Mismatch repair - Homo sapiens (human)","",""
"hsa03440","hsa03440","Homologous recombination - Homo sapiens (human)","",""
"hsa03450","hsa03450","Non-homologous end-joining - Homo sapiens (human)","",""
"hsa03460","hsa03460","Fanconi anemia pathway - Homo sapiens (human)","",""
"hsa04010","hsa04010","MAPK signaling pathway - Homo sapiens (human)","C00076;C00165;C00338;C00575;C01245","Calcium cation;Diacylglycerol;Lipopolysaccharide;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate"
"hsa04012","hsa04012","ErbB signaling pathway - Homo sapiens (human)","C00076;C00165;C01245;C05981","Calcium cation;Diacylglycerol;D-myo-Inositol 1,4,5-trisphosphate;Phosphatidylinositol-3,4,5-trisphosphate"
"hsa04014","hsa04014","Ras signaling pathway - Homo sapiens (human)","C00035;C00044;C00076;C00165;C00575;C01245;C05981","GDP;GTP;Calcium cation;Diacylglycerol;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate;Phosphatidylinositol-3,4,5-trisphosphate"
"hsa04015","hsa04015","Rap1 signaling pathway - Homo sapiens (human)","C00035;C00044;C00076;C00165;C00575","GDP;GTP;Calcium cation;Diacylglycerol;3',5'-Cyclic AMP"
