,degree,fanout,fanin
GIMAP4,0.0,0.0,1.0
GIMAP5,0.0,0.0,1.0
GIMAP6,0.0,0.0,1.0
GIMAP7,0.0,0.0,1.0
GIMAP1,0.0,0.0,1.0
GIMAP2,0.0,0.0,1.0
SCUBE2,1.0,1.0,1.0
SCUBE3,0.0,0.0,1.0
SCUBE1,0.0,0.0,1.0
JMJD7-PLA2G4B,22.0,22.0,1.0
RPSAP52,0.0,0.0,1.0
ZNF750,0.0,0.0,1.0
RPSAP58,0.0,0.0,1.0
CEP19,0.0,0.0,1.0
SMIM13,0.0,0.0,1.0
SMIM12,0.0,0.0,1.0
MYOM1,0.0,0.0,1.0
SMIM10,0.0,0.0,1.0
SMIM17,0.0,0.0,1.0
SMIM15,0.0,0.0,1.0
SMIM14,0.0,0.0,1.0
RPP30,1.0,1.0,1.0
OR52W1,1.0,1.0,1.0
FBXO2,2.0,2.0,1.0
FBXO3,0.0,0.0,1.0
FBXO4,1.0,1.0,1.0
FBXO5,1.0,1.0,1.0
FBXO6,1.0,1.0,1.0
FBXO7,0.0,0.0,1.0
FBXO8,0.0,0.0,1.0
BCORL1,0.0,0.0,1.0
HACE1,0.0,0.0,1.0
MTERF3,0.0,0.0,1.0
TAL1,0.0,0.0,1.0
MYEF2,0.0,0.0,1.0
TAL2,0.0,0.0,1.0
RITA1,0.0,0.0,1.0
NT5DC2,0.0,0.0,1.0
DBR1,0.0,0.0,1.0
CSNK1A1,8.0,8.0,1.0
RUSC2,0.0,0.0,1.0
RUSC1,0.0,0.0,1.0
PPIH,1.0,1.0,1.0
PPIG,0.0,0.0,1.0
PPIF,12.0,12.0,1.0
PPIE,1.0,1.0,1.0
PPID,5.0,5.0,1.0
CCDC85C,0.0,0.0,1.0
PPIB,0.0,0.0,1.0
CCDC85A,0.0,0.0,1.0
FGF1,11.0,11.0,1.0
GLYATL1,0.0,0.0,1.0
SNTB2,0.0,0.0,1.0
LOC729966,0.0,0.0,1.0
SNTB1,0.0,0.0,1.0
DNAJC1,1.0,1.0,1.0
CORO1B,0.0,0.0,1.0
CORO1C,0.0,0.0,1.0
CORO1A,2.0,2.0,1.0
MID2,0.0,0.0,1.0
MID1,1.0,1.0,1.0
DCPS,1.0,1.0,1.0
WASF1,7.0,7.0,1.0
WASF2,8.0,8.0,1.0
WASF3,5.0,5.0,1.0
PTHLH,0.0,0.0,1.0
THEMIS2,0.0,0.0,1.0
LLPH,0.0,0.0,1.0
DCP2,1.0,1.0,1.0
MYCT1,0.0,0.0,1.0
SORT1,3.0,3.0,1.0
LOC643406,0.0,0.0,1.0
LZIC,0.0,0.0,1.0
MIDN,0.0,0.0,1.0
NAA50,0.0,0.0,1.0
CFDP1,0.0,0.0,1.0
ATF6B,22.0,22.0,1.0
HECTD2,0.0,0.0,1.0
HECTD3,0.0,0.0,1.0
PIBF1,0.0,0.0,1.0
HELZ2,0.0,0.0,1.0
LZTFL1,0.0,0.0,1.0
ADAD1,0.0,0.0,1.0
ADAD2,0.0,0.0,1.0
NXN,0.0,0.0,1.0
FAM193A,0.0,0.0,1.0
PDE7A,2.0,2.0,1.0
TPPP3,0.0,0.0,1.0
TPPP2,0.0,0.0,1.0
FLII,0.0,0.0,1.0
TDP2,0.0,0.0,1.0
PIP,0.0,0.0,1.0
PIR,0.0,0.0,1.0
RALGAPA1,1.0,1.0,1.0
LRRC37B,0.0,0.0,1.0
FLI1,1.0,1.0,1.0
GPR22,0.0,0.0,1.0
GPR20,0.0,0.0,1.0
PI3,0.0,0.0,1.0
GPR26,0.0,0.0,1.0
GPR27,0.0,0.0,1.0
GPR25,0.0,0.0,1.0
KCNMB1,3.0,3.0,1.0
KCNMB3,3.0,3.0,1.0
KCNMB2,3.0,3.0,1.0
PNCK,0.0,0.0,1.0
FANCD2OS,0.0,0.0,1.0
FCRL5,0.0,0.0,1.0
LINC01003,0.0,0.0,1.0
ANKRD53,0.0,0.0,1.0
ANKRD50,0.0,0.0,1.0
ANKRD54,0.0,0.0,1.0
ANKRD55,0.0,0.0,1.0
POC5,0.0,0.0,1.0
SPECC1L,0.0,0.0,1.0
MIR16-1,1.0,1.0,1.0
NPRL3,1.0,1.0,1.0
NPRL2,1.0,1.0,1.0
KBTBD7,0.0,0.0,1.0
KBTBD6,0.0,0.0,1.0
SHCBP1L,0.0,0.0,1.0
PLXNB1,1.0,1.0,1.0
KBTBD3,0.0,0.0,1.0
KBTBD2,0.0,0.0,1.0
AMN,0.0,0.0,1.0
KBTBD8,0.0,0.0,1.0
SP140L,0.0,0.0,1.0
PPIP5K1,1.0,1.0,1.0
AMT,2.0,2.0,1.0
SIRT3,2.0,2.0,1.0
SIRT2,1.0,1.0,1.0
SIRT1,10.0,10.0,1.0
SIRT7,1.0,1.0,1.0
SIRT6,3.0,3.0,1.0
RASL11A,0.0,0.0,1.0
SIRT4,1.0,1.0,1.0
CHRM2,6.0,6.0,1.0
MAS1L,0.0,0.0,1.0
FSD1,0.0,0.0,1.0
FSD2,0.0,0.0,1.0
FAM91A1,0.0,0.0,1.0
RBM26,0.0,0.0,1.0
RBM24,0.0,0.0,1.0
RBM25,1.0,1.0,1.0
RBM22,1.0,1.0,1.0
RBM23,0.0,0.0,1.0
RBM20,0.0,0.0,1.0
FMO9P,0.0,0.0,1.0
RBM28,1.0,1.0,1.0
MGAT5,1.0,1.0,1.0
TRHDE-AS1,0.0,0.0,1.0
EPHA8,1.0,1.0,1.0
EPHA7,1.0,1.0,1.0
EPHA6,1.0,1.0,1.0
EPHA5,1.0,1.0,1.0
EPHA4,1.0,1.0,1.0
EPHA3,1.0,1.0,1.0
EPHA2,5.0,5.0,1.0
EPHA1,1.0,1.0,1.0
LSMEM1,0.0,0.0,1.0
LSMEM2,0.0,0.0,1.0
ZMYM1,0.0,0.0,1.0
PBOV1,0.0,0.0,1.0
OR4S1,1.0,1.0,1.0
OR4S2,1.0,1.0,1.0
CLUAP1,0.0,0.0,1.0
KDM6A,1.0,1.0,1.0
KDM6B,0.0,0.0,1.0
VAMP1,1.0,1.0,1.0
ZGLP1,0.0,0.0,1.0
COL9A2,5.0,5.0,1.0
CHST13,1.0,1.0,1.0
COL9A1,5.0,5.0,1.0
CC2D2A,0.0,0.0,1.0
FAM225B,0.0,0.0,1.0
CHST12,1.0,1.0,1.0
PRTG,0.0,0.0,1.0
LIMD2,0.0,0.0,1.0
VAMP5,1.0,1.0,1.0
VAMP4,1.0,1.0,1.0
GLB1L2,0.0,0.0,1.0
GLB1L3,0.0,0.0,1.0
PAPPA2,0.0,0.0,1.0
RNF157,0.0,0.0,1.0
ARHGAP11A,0.0,0.0,1.0
ARHGAP11B,0.0,0.0,1.0
MIR125A,1.0,1.0,1.0
ARL9,0.0,0.0,1.0
ARL1,0.0,0.0,1.0
ARL3,0.0,0.0,1.0
ARL2,0.0,0.0,1.0
ARL6,0.0,0.0,1.0
CRCT1,0.0,0.0,1.0
RRM2,5.0,5.0,1.0
RRM1,4.0,4.0,1.0
PSENEN,2.0,2.0,1.0
ZC3H12A,0.0,0.0,1.0
ZC3H12B,0.0,0.0,1.0
TSR1,0.0,0.0,1.0
TSR3,0.0,0.0,1.0
TSR2,0.0,0.0,1.0
TH,8.0,8.0,1.0
TF,3.0,3.0,1.0
TG,2.0,2.0,1.0
NWD2,0.0,0.0,1.0
NAGS,1.0,1.0,1.0
MLXIPL,2.0,2.0,1.0
TXNL1,0.0,0.0,1.0
TAPBPL,0.0,0.0,1.0
NAGA,2.0,2.0,1.0
NAGK,1.0,1.0,1.0
CYP4A11,0.0,0.0,1.0
FOLH1B,0.0,0.0,1.0
AP4S1,1.0,1.0,1.0
CYP3A5,5.0,5.0,1.0
CARTPT,0.0,0.0,1.0
PGAP1,1.0,1.0,1.0
PGAP3,0.0,0.0,1.0
PGAP2,0.0,0.0,1.0
THBS2,6.0,6.0,1.0
WLS,0.0,0.0,1.0
MFAP5,0.0,0.0,1.0
MFAP4,0.0,0.0,1.0
MFAP3,0.0,0.0,1.0
MFAP2,0.0,0.0,1.0
MFAP1,0.0,0.0,1.0
SRSF12,0.0,0.0,1.0
OTX2,0.0,0.0,1.0
OFD1,0.0,0.0,1.0
HBS1L,2.0,2.0,1.0
ZFYVE21,0.0,0.0,1.0
SULT1E1,1.0,1.0,1.0
SLC17A8,4.0,4.0,1.0
GYPB,1.0,1.0,1.0
GYPC,1.0,1.0,1.0
GYPE,0.0,0.0,1.0
SLC17A9,0.0,0.0,1.0
SNAP25,2.0,2.0,1.0
RAX2,0.0,0.0,1.0
SNAP23,2.0,2.0,1.0
LITAF,1.0,1.0,1.0
SNAP29,2.0,2.0,1.0
PIDD1,3.0,3.0,1.0
C11orf49,0.0,0.0,1.0
C11orf40,0.0,0.0,1.0
C11orf42,0.0,0.0,1.0
C11orf44,0.0,0.0,1.0
C11orf45,0.0,0.0,1.0
TNFSF13,3.0,3.0,1.0
TNFSF12,1.0,1.0,1.0
TNFSF11,7.0,7.0,1.0
TNFSF10,10.0,10.0,1.0
DIRAS1,0.0,0.0,1.0
DIRAS3,0.0,0.0,1.0
BBOX1,1.0,1.0,1.0
TNFSF18,1.0,1.0,1.0
SFXN4,0.0,0.0,1.0
RASA4B,1.0,1.0,1.0
SFXN2,0.0,0.0,1.0
SFXN3,0.0,0.0,1.0
SFXN1,0.0,0.0,1.0
CRYBA2,0.0,0.0,1.0
CRYBA1,0.0,0.0,1.0
TAS2R1,1.0,1.0,1.0
CRYBA4,0.0,0.0,1.0
CCT8,0.0,0.0,1.0
RWDD2A,0.0,0.0,1.0
RWDD2B,0.0,0.0,1.0
CCT2,0.0,0.0,1.0
CCT3,0.0,0.0,1.0
LNX1,0.0,0.0,1.0
CCT7,0.0,0.0,1.0
CCT4,0.0,0.0,1.0
CCT5,0.0,0.0,1.0
LINC00525,0.0,0.0,1.0
LINC00523,0.0,0.0,1.0
ARL13B,0.0,0.0,1.0
ARL13A,0.0,0.0,1.0
TICRR,0.0,0.0,1.0
MC3R,1.0,1.0,1.0
SWI5,0.0,0.0,1.0
UBALD1,0.0,0.0,1.0
UBALD2,0.0,0.0,1.0
RPL23AP82,0.0,0.0,1.0
GFM1,0.0,0.0,1.0
GFM2,0.0,0.0,1.0
RIPPLY3,0.0,0.0,1.0
RIPPLY2,0.0,0.0,1.0
CROT,1.0,1.0,1.0
SLC4A5,1.0,1.0,1.0
SLC4A4,3.0,3.0,1.0
SLC4A7,0.0,0.0,1.0
SLC4A1,1.0,1.0,1.0
SLC4A3,0.0,0.0,1.0
SLC4A2,4.0,4.0,1.0
DCTN2,5.0,5.0,1.0
DCTN3,4.0,4.0,1.0
DCTN1,5.0,5.0,1.0
DCTN6,5.0,5.0,1.0
SLC4A8,0.0,0.0,1.0
DCTN4,5.0,5.0,1.0
DCTN5,5.0,5.0,1.0
KCMF1,0.0,0.0,1.0
ASPA,1.0,1.0,1.0
CIITA,5.0,5.0,1.0
ASPN,0.0,0.0,1.0
ASPH,2.0,2.0,1.0
ERC1,1.0,1.0,1.0
ERC2,0.0,0.0,1.0
BROX,0.0,0.0,1.0
PLCL2,0.0,0.0,1.0
PLCL1,1.0,1.0,1.0
FAM86B1,0.0,0.0,1.0
MXRA5,0.0,0.0,1.0
MXRA7,0.0,0.0,1.0
UBE2V1,1.0,1.0,1.0
UBE2V2,1.0,1.0,1.0
CMBL,0.0,0.0,1.0
ZNF880,1.0,1.0,1.0
ZNF883,0.0,0.0,1.0
ZNF888,1.0,1.0,1.0
SSTR1,2.0,2.0,1.0
SSTR3,1.0,1.0,1.0
SSTR2,3.0,3.0,1.0
SSTR5,2.0,2.0,1.0
SSTR4,1.0,1.0,1.0
LDLRAP1,2.0,2.0,1.0
IGSF8,0.0,0.0,1.0
IGSF9,0.0,0.0,1.0
TRAK2,1.0,1.0,1.0
IGSF5,2.0,2.0,1.0
IGSF6,0.0,0.0,1.0
IGSF1,1.0,1.0,1.0
IGSF3,0.0,0.0,1.0
CTNNB1,31.0,31.0,1.0
MOB1A,2.0,2.0,1.0
MOB1B,2.0,2.0,1.0
CRYL1,1.0,1.0,1.0
ILVBL,0.0,0.0,1.0
TINCR,0.0,0.0,1.0
ITGB1,25.0,25.0,1.0
ITGB3,21.0,21.0,1.0
LRRC7,0.0,0.0,1.0
ITGB5,10.0,10.0,1.0
ITGB4,8.0,8.0,1.0
ITGB7,11.0,11.0,1.0
ITGB6,8.0,8.0,1.0
ITGB8,9.0,9.0,1.0
CDK19,0.0,0.0,1.0
ATN1,0.0,0.0,1.0
WNK4,0.0,0.0,1.0
TOB1,1.0,1.0,1.0
MYOD1,1.0,1.0,1.0
TNIP2,0.0,0.0,1.0
LCE4A,0.0,0.0,1.0
NR2C1,0.0,0.0,1.0
KCNA10,0.0,0.0,1.0
AICDA,2.0,2.0,1.0
MIR31,1.0,1.0,1.0
MIR32,1.0,1.0,1.0
MAT1A,1.0,1.0,1.0
CDK17,0.0,0.0,1.0
MAN1B1,3.0,3.0,1.0
TMEM255A,0.0,0.0,1.0
LBP,5.0,5.0,1.0
LBR,1.0,1.0,1.0
RAN,4.0,4.0,1.0
CFAP61,0.0,0.0,1.0
FGR,1.0,1.0,1.0
USP35,0.0,0.0,1.0
SHMT1,2.0,2.0,1.0
RPE65,1.0,1.0,1.0
LBH,0.0,0.0,1.0
FGG,4.0,4.0,1.0
FGA,4.0,4.0,1.0
FGB,4.0,4.0,1.0
PLD4,2.0,2.0,1.0
EXT2,1.0,1.0,1.0
IMP4,1.0,1.0,1.0
MORN4,0.0,0.0,1.0
ATP1B4,18.0,18.0,1.0
ACIN1,3.0,3.0,1.0
ATP1B2,18.0,18.0,1.0
ATP1B3,18.0,18.0,1.0
POU5F1P4,0.0,0.0,1.0
ATP1B1,18.0,18.0,1.0
TFB1M,0.0,0.0,1.0
LY96,7.0,7.0,1.0
SERF2-C15ORF63,0.0,0.0,1.0
PLD2,14.0,14.0,1.0
NOS1AP,1.0,1.0,1.0
TSEN15,0.0,0.0,1.0
PLD3,2.0,2.0,1.0
ALDH5A1,1.0,1.0,1.0
SPTY2D1,0.0,0.0,1.0
TCTA,0.0,0.0,1.0
SNX3,1.0,1.0,1.0
SNX2,1.0,1.0,1.0
SNX1,1.0,1.0,1.0
SNX7,0.0,0.0,1.0
SNX6,1.0,1.0,1.0
SNX5,1.0,1.0,1.0
SNX4,1.0,1.0,1.0
SNX9,1.0,1.0,1.0
SNX8,0.0,0.0,1.0
CASD1,0.0,0.0,1.0
RUNX3,2.0,2.0,1.0
KHSRP,0.0,0.0,1.0
TIMELESS,0.0,0.0,1.0
PHKG2,3.0,3.0,1.0
NRTN,0.0,0.0,1.0
ORAI2,1.0,1.0,1.0
ORAI3,1.0,1.0,1.0
ORAI1,8.0,8.0,1.0
STH,0.0,0.0,1.0
GPX3,5.0,5.0,1.0
DLAT,3.0,3.0,1.0
UHRF1BP1L,0.0,0.0,1.0
C12orf29,0.0,0.0,1.0
KRT8P41,0.0,0.0,1.0
RNASEH2A,1.0,1.0,1.0
RNASEH2C,1.0,1.0,1.0
RNASEH2B,1.0,1.0,1.0
MAOB,12.0,12.0,1.0
MAOA,12.0,12.0,1.0
NEIL1,1.0,1.0,1.0
NEIL3,1.0,1.0,1.0
NEIL2,1.0,1.0,1.0
HNRNPR,0.0,0.0,1.0
CLYBL,0.0,0.0,1.0
AHI1,0.0,0.0,1.0
FABP6,1.0,1.0,1.0
FABP7,1.0,1.0,1.0
PGAM4,3.0,3.0,1.0
PGAM5,3.0,3.0,1.0
PGAM2,3.0,3.0,1.0
FABP3,1.0,1.0,1.0
FANCD2,1.0,1.0,1.0
FABP1,3.0,3.0,1.0
AKR1C4,3.0,3.0,1.0
GABRA4,6.0,6.0,1.0
MESP2,0.0,0.0,1.0
GABRA6,6.0,6.0,1.0
GABRA1,6.0,6.0,1.0
AKR1C1,3.0,3.0,1.0
GABRA3,6.0,6.0,1.0
FABP9,0.0,0.0,1.0
SNCAIP,2.0,2.0,1.0
OLMALINC,0.0,0.0,1.0
P2RY6,1.0,1.0,1.0
C1QBP,0.0,0.0,1.0
GRIA2,15.0,15.0,1.0
RNF5P1,0.0,0.0,1.0
GRIA3,13.0,13.0,1.0
FASN,4.0,4.0,1.0
GRIA1,14.0,14.0,1.0
ZNF75D,0.0,0.0,1.0
DOCK4,1.0,1.0,1.0
EP300,26.0,26.0,1.0
TAAR5,1.0,1.0,1.0
TAAR6,1.0,1.0,1.0
TAAR1,1.0,1.0,1.0
TAAR2,1.0,1.0,1.0
DIS3L,1.0,1.0,1.0
TAAR9,1.0,1.0,1.0
TAAR8,1.0,1.0,1.0
SMEK1,0.0,0.0,1.0
NEU4,2.0,2.0,1.0
RCE1,1.0,1.0,1.0
NEU1,3.0,3.0,1.0
NEU2,2.0,2.0,1.0
NEU3,2.0,2.0,1.0
UVSSA,0.0,0.0,1.0
OR5I1,1.0,1.0,1.0
SPANXA2,0.0,0.0,1.0
SCN9A,1.0,1.0,1.0
VSTM5,0.0,0.0,1.0
VSTM4,0.0,0.0,1.0
VSTM1,0.0,0.0,1.0
OPRL1,1.0,1.0,1.0
RAD54B,1.0,1.0,1.0
RAD54L,1.0,1.0,1.0
MED10,0.0,0.0,1.0
MED11,0.0,0.0,1.0
ABCB1,4.0,4.0,1.0
MED13,1.0,1.0,1.0
MED14,1.0,1.0,1.0
ABCB6,1.0,1.0,1.0
ABCB5,1.0,1.0,1.0
MED17,1.0,1.0,1.0
MED18,0.0,0.0,1.0
MED19,0.0,0.0,1.0
ABCB9,2.0,2.0,1.0
ABCB8,1.0,1.0,1.0
EEF1B2,0.0,0.0,1.0
UBAP2L,0.0,0.0,1.0
SLC9A3,4.0,4.0,1.0
TLX1,1.0,1.0,1.0
TLX2,0.0,0.0,1.0
TLX3,1.0,1.0,1.0
ADH1C,8.0,8.0,1.0
ADH1B,8.0,8.0,1.0
ADH1A,8.0,8.0,1.0
MUSK,0.0,0.0,1.0
PMAIP1,6.0,6.0,1.0
KIAA1257,0.0,0.0,1.0
JUN,54.0,54.0,1.0
MLEC,0.0,0.0,1.0
SESTD1,0.0,0.0,1.0
IST1,1.0,1.0,1.0
SLC30A9,0.0,0.0,1.0
SLC30A8,0.0,0.0,1.0
SLC30A5,0.0,0.0,1.0
SLC30A4,0.0,0.0,1.0
SLC30A7,0.0,0.0,1.0
SLC30A6,0.0,0.0,1.0
SLC30A1,1.0,1.0,1.0
SLC30A3,0.0,0.0,1.0
SLC30A2,0.0,0.0,1.0
SNRNP200,1.0,1.0,1.0
MT1HL1,1.0,1.0,1.0
GADD45A,23.0,23.0,1.0
GADD45B,23.0,23.0,1.0
EML1,0.0,0.0,1.0
EML6,0.0,0.0,1.0
LOC344967,0.0,0.0,1.0
EML4,3.0,3.0,1.0
GADD45G,23.0,23.0,1.0
SCNN1D,0.0,0.0,1.0
ZYG11B,0.0,0.0,1.0
ZYG11A,0.0,0.0,1.0
KCNT2,0.0,0.0,1.0
SPEF1,0.0,0.0,1.0
HLA-DPB1,23.0,23.0,1.0
HLA-DPB2,0.0,0.0,1.0
SPEF2,0.0,0.0,1.0
SCN1A,1.0,1.0,1.0
KAAG1,0.0,0.0,1.0
RSPO3,1.0,1.0,1.0
RSPO2,1.0,1.0,1.0
RSPO1,1.0,1.0,1.0
CNN1,0.0,0.0,1.0
CNN3,0.0,0.0,1.0
RSPO4,1.0,1.0,1.0
ZNF273,1.0,1.0,1.0
ZNF277,0.0,0.0,1.0
ZNF276,0.0,0.0,1.0
ZNF275,1.0,1.0,1.0
ZNF274,1.0,1.0,1.0
CHAC2,1.0,1.0,1.0
CHAC1,1.0,1.0,1.0
KCNV1,0.0,0.0,1.0
ARHGEF37,0.0,0.0,1.0
PLGRKT,0.0,0.0,1.0
FAM98A,0.0,0.0,1.0
XKR8,0.0,0.0,1.0
ITGA10,8.0,8.0,1.0
ITGA11,8.0,8.0,1.0
EIF5B,0.0,0.0,1.0
CTXN1,0.0,0.0,1.0
CTXN3,0.0,0.0,1.0
CCKBR,3.0,3.0,1.0
MAML2,3.0,3.0,1.0
MAML3,3.0,3.0,1.0
MAML1,3.0,3.0,1.0
EFR3B,0.0,0.0,1.0
IRGM,2.0,2.0,1.0
TUBB8,10.0,10.0,1.0
TUBB6,10.0,10.0,1.0
TUBB3,10.0,10.0,1.0
TUBB1,10.0,10.0,1.0
HERC1,1.0,1.0,1.0
HERC3,1.0,1.0,1.0
HERC2,1.0,1.0,1.0
HERC5,0.0,0.0,1.0
HERC4,1.0,1.0,1.0
HERC6,0.0,0.0,1.0
C19orf73,0.0,0.0,1.0
APTX,0.0,0.0,1.0
SH3BGRL3,0.0,0.0,1.0
SH3BGRL2,0.0,0.0,1.0
PEX5L,1.0,1.0,1.0
C17orf58,0.0,0.0,1.0
SLCO2B1,0.0,0.0,1.0
C17orf50,0.0,0.0,1.0
PRR34,0.0,0.0,1.0
PRR35,0.0,0.0,1.0
PRR36,0.0,0.0,1.0
CD53,0.0,0.0,1.0
MKNK2,3.0,3.0,1.0
LCLAT1,2.0,2.0,1.0
ODF3B,0.0,0.0,1.0
B3GNT9,0.0,0.0,1.0
OLFM3,0.0,0.0,1.0
OLFM2,0.0,0.0,1.0
OLFM1,0.0,0.0,1.0
OLFM4,0.0,0.0,1.0
RAF1,78.0,78.0,1.0
DRAM1,0.0,0.0,1.0
DRAM2,0.0,0.0,1.0
LINC00052,0.0,0.0,1.0
IFNB1,28.0,28.0,1.0
RPL13A,2.0,2.0,1.0
BEAN1,1.0,1.0,1.0
BCL7C,0.0,0.0,1.0
CD58,2.0,2.0,1.0
BCL7A,0.0,0.0,1.0
SCP2,4.0,4.0,1.0
EFNA5,6.0,6.0,1.0
EFNA4,6.0,6.0,1.0
EFNA3,6.0,6.0,1.0
EFNA2,6.0,6.0,1.0
EFNA1,6.0,6.0,1.0
DDX25,0.0,0.0,1.0
OSBP2,0.0,0.0,1.0
LRP2,3.0,3.0,1.0
LRP3,0.0,0.0,1.0
LRP1,3.0,3.0,1.0
LRP6,8.0,8.0,1.0
LRP4,0.0,0.0,1.0
LRP5,8.0,8.0,1.0
LRP8,0.0,0.0,1.0
TEX29,0.0,0.0,1.0
HLA-DOA,23.0,23.0,1.0
HLA-DOB,23.0,23.0,1.0
DDX24,0.0,0.0,1.0
CALR3,0.0,0.0,1.0
STIM1,2.0,2.0,1.0
STIM2,1.0,1.0,1.0
ANTXR1,1.0,1.0,1.0
ANTXR2,1.0,1.0,1.0
OR51S1,1.0,1.0,1.0
MAP2,0.0,0.0,1.0
C8A,6.0,6.0,1.0
C8B,6.0,6.0,1.0
MAP6,0.0,0.0,1.0
MAP7,0.0,0.0,1.0
MAP4,0.0,0.0,1.0
C8G,6.0,6.0,1.0
TEAD3,2.0,2.0,1.0
TEAD2,2.0,2.0,1.0
TEAD1,2.0,2.0,1.0
MAP9,0.0,0.0,1.0
C1orf185,0.0,0.0,1.0
TEAD4,2.0,2.0,1.0
PTPN22,0.0,0.0,1.0
PTPN23,0.0,0.0,1.0
FAM180B,0.0,0.0,1.0
PTPN21,0.0,0.0,1.0
PLEKHF1,0.0,0.0,1.0
PLEKHF2,0.0,0.0,1.0
CHIT1,1.0,1.0,1.0
APEX1,1.0,1.0,1.0
APEX2,1.0,1.0,1.0
SERPINI1,0.0,0.0,1.0
SERPINI2,0.0,0.0,1.0
SPOCD1,0.0,0.0,1.0
FANK1,0.0,0.0,1.0
KMT2C,1.0,1.0,1.0
KMT2B,1.0,1.0,1.0
KMT2A,3.0,3.0,1.0
ESRRA,0.0,0.0,1.0
KMT2E,1.0,1.0,1.0
ESRRB,1.0,1.0,1.0
CLEC11A,0.0,0.0,1.0
MTPN,0.0,0.0,1.0
EPHA10,0.0,0.0,1.0
CRYM-AS1,0.0,0.0,1.0
ZNF718,1.0,1.0,1.0
DMRTA2,0.0,0.0,1.0
ZNF716,1.0,1.0,1.0
DMRTA1,0.0,0.0,1.0
ZNF710,0.0,0.0,1.0
ZNF711,0.0,0.0,1.0
ZNF713,1.0,1.0,1.0
NFAM1,0.0,0.0,1.0
YY1AP1,0.0,0.0,1.0
TOM1L2,0.0,0.0,1.0
MAPT,4.0,4.0,1.0
ANTXRL,0.0,0.0,1.0
HLA-DQA1,23.0,23.0,1.0
HLA-DQA2,23.0,23.0,1.0
ASB10,0.0,0.0,1.0
MYOM3,0.0,0.0,1.0
ASB12,0.0,0.0,1.0
ASB13,0.0,0.0,1.0
ASB14,0.0,0.0,1.0
ASB15,0.0,0.0,1.0
ASB16,0.0,0.0,1.0
MYOM2,0.0,0.0,1.0
UTS2B,1.0,1.0,1.0
RPP38,1.0,1.0,1.0
OR4K15,1.0,1.0,1.0
UTS2R,1.0,1.0,1.0
MSR1,1.0,1.0,1.0
LOC401052,0.0,0.0,1.0
AVIL,0.0,0.0,1.0
TCHHL1,0.0,0.0,1.0
NSMF,0.0,0.0,1.0
ANKMY1,0.0,0.0,1.0
MPST,3.0,3.0,1.0
MYCBP2,0.0,0.0,1.0
NNT,1.0,1.0,1.0
SMIM19,0.0,0.0,1.0
LINC01252,0.0,0.0,1.0
HK2,11.0,11.0,1.0
HK3,11.0,11.0,1.0
HK1,11.0,11.0,1.0
CT62,0.0,0.0,1.0
LAX1,0.0,0.0,1.0
FN1,12.0,12.0,1.0
MOB3C,0.0,0.0,1.0
TFPI2,0.0,0.0,1.0
MSRA,0.0,0.0,1.0
SUPT4H1,1.0,1.0,1.0
CHIAP2,0.0,0.0,1.0
BATF,1.0,1.0,1.0
CTNND1,3.0,3.0,1.0
MACF1,0.0,0.0,1.0
FBXO9,0.0,0.0,1.0
EED,0.0,0.0,1.0
MAPKAPK5,1.0,1.0,1.0
MAPKAPK3,2.0,2.0,1.0
MAPKAPK2,7.0,7.0,1.0
ZNF815P,0.0,0.0,1.0
PDHX,0.0,0.0,1.0
SAMD5,0.0,0.0,1.0
SAMD7,0.0,0.0,1.0
SAMD1,0.0,0.0,1.0
SAMD3,0.0,0.0,1.0
PDHB,7.0,7.0,1.0
SAMD8,0.0,0.0,1.0
SAMD9,0.0,0.0,1.0
C18orf21,0.0,0.0,1.0
PDIA4,3.0,3.0,1.0
TIAL1,0.0,0.0,1.0
HEXIM1,0.0,0.0,1.0
DENND5B,0.0,0.0,1.0
DENND5A,0.0,0.0,1.0
HEXIM2,0.0,0.0,1.0
ZNF530,1.0,1.0,1.0
LRRC18,0.0,0.0,1.0
LRRC19,0.0,0.0,1.0
AQP7P3,0.0,0.0,1.0
LRRC17,0.0,0.0,1.0
LRRC14,0.0,0.0,1.0
LRRC15,0.0,0.0,1.0
LRRC10,0.0,0.0,1.0
CRLS1,1.0,1.0,1.0
FAM111B,0.0,0.0,1.0
GCSH,1.0,1.0,1.0
RAB3A,2.0,2.0,1.0
SVOP,0.0,0.0,1.0
LRG1,0.0,0.0,1.0
FAHD2B,0.0,0.0,1.0
FAHD2A,0.0,0.0,1.0
DROSHA,2.0,2.0,1.0
OR6Q1,1.0,1.0,1.0
CCDC107,0.0,0.0,1.0
CCDC106,0.0,0.0,1.0
PML,7.0,7.0,1.0
MRM1,0.0,0.0,1.0
LOC401010,0.0,0.0,1.0
CHRNA4,4.0,4.0,1.0
CHRNA5,1.0,1.0,1.0
CHRNA6,3.0,3.0,1.0
CHRNA7,7.0,7.0,1.0
CHRNA1,2.0,2.0,1.0
CHRNA2,1.0,1.0,1.0
CHRNA3,3.0,3.0,1.0
SAV1,2.0,2.0,1.0
MLST8,5.0,5.0,1.0
CHRNA9,2.0,2.0,1.0
MT1DP,0.0,0.0,1.0
CEP152,0.0,0.0,1.0
DICER1,1.0,1.0,1.0
HP1BP3,0.0,0.0,1.0
CHGA,0.0,0.0,1.0
CHGB,0.0,0.0,1.0
MSN,5.0,5.0,1.0
LENEP,0.0,0.0,1.0
